x_local,y_local,state
-0.4204,-0.9377,Normal
2.547,-2.6888,Orbit
2.8181,-6.1508,Orbit
0.0465,-8.2075,Orbit
-3.1538,-6.96,Orbit
-3.7979,-3.5981,Orbit
-1.2052,-1.1875,Orbit
-0.8703,-1.1875,Normal
0.2293,-1.1875,Normal
1.4289,-1.3874,Normal
5.8421,-3.5432,Normal
10.9256,-3.8856,Normal
12.7558,-0.8127,Orbit
16.2444,-0.6411,Orbit
18.2283,-3.4854,Orbit
16.8814,-6.6591,Orbit
13.4927,-7.2038,Orbit
11.5232,-5.5909,Orbit
11.2255,-0.5909,Normal
8.9664,3.669,Normal
8.5764,4.6084,Normal
5.1042,4.6983,Orbit
3.1155,7.5379,Orbit
4.4559,10.7133,Orbit
7.8428,11.2645,Orbit
10.1046,8.698,Orbit
9.4761,5.7576,Orbit
5.2168,3.7982,Normal
1.5636,0.546,Normal
0.0,0.0,Normal
